sub,Linear Phillips Curve,Linear with Variable Selection,Non-Linear Phillips Curve,Non-Linear and Variable Selection,RW,RSM,AR
2002-2004,0.218879599376785,0.191340917205909,0.202935464902871,0.191644872298853,0.223536869006267,0.237911674358362,0.216546643859005
2005-2007,0.365149662721894,0.341459926674688,0.368430833342857,0.366207864698446,0.431080198910773,0.358352792431019,0.375486043249212
2008-2010,0.436038500778807,0.405473659676662,0.510838353899705,0.456300732381023,0.440811141396871,0.525413726143756,0.426282374556584
2011-2013,0.205426800349719,0.195440517480682,0.204690467204185,0.199355480407835,0.243385770534938,0.258368187787931,0.204995378252162
2014-2016,0.197193087961487,0.182800190502221,0.202950418600813,0.201655365660137,0.221301451579624,0.303169815720018,0.20170947031603
2017-2019,0.156193786934648,0.140995851920263,0.159471838693797,0.144752629025259,0.191674477747696,0.199866293744876,0.155961178896625
2020-2022,0.577633103120576,0.367608167600547,0.394203220518956,0.38133889757457,0.379391515799678,0.41387453036888,0.345150097188098
2023-2025,0.134725576901215,0.145180113516033,0.132278046432105,0.137909503483915,0.164611587974057,0.139530129804904,0.133053543391416
