sub,Linear Phillips Curve,Linear with Variable Selection,Non-Linear Phillips Curve,Non-Linear and Variable Selection,RW,RSM,AR
2002-2004,0.216288799491271,0.225466933159563,0.198252919405968,0.203471718025975,0.344574363850273,0.238223277779548,0.220200110493518
2005-2007,0.379581349088484,0.374720377785263,0.383685629506847,0.389917715080444,0.560166807910717,0.358380440768099,0.396850155536555
2008-2010,0.542946838305942,0.555259254961997,0.527785857220022,0.501151098067241,0.686133098053953,0.526274616177755,0.584561213684475
2011-2013,0.214748411872986,0.228460728925943,0.214391077132705,0.223165098538203,0.342578727996707,0.258683671811342,0.22749749045372
2014-2016,0.215786603831472,0.214317341779952,0.218438575392228,0.223662582173939,0.288373328836216,0.303777475653528,0.246924795421921
2017-2019,0.166270142392752,0.157700304387176,0.164163878892179,0.159867000652903,0.237872391136355,0.200121152819209,0.179511362014279
2020-2022,0.574288546056469,0.460657892498908,0.432872172062897,0.418764615955298,0.488223602867859,0.414332415126751,0.425243835233973
2023-2025,0.142473037743821,0.144306076163623,0.142102326910104,0.142231024130602,0.196354950684936,0.139609483427461,0.134480822193416
