sub,RW,RSM,AR,La_P,Ri_P,EN_P,La,Ri,EN,RF_P,LLF_P,RF,LLF
2002-2004,0.344574363850273,0.238223277779548,0.220200110493518,0.219413158113658,0.211969619772152,0.217639323763805,0.226813417167638,0.230537204527531,0.218942234635988,0.199809359949772,0.198100370870854,0.196143587580672,0.211407789120353
2005-2007,0.560166807910717,0.358380440768099,0.396850155536555,0.38534789764511,0.370678190251763,0.38302678372447,0.37125654504173,0.384580492850723,0.368354136450743,0.386793312642998,0.381848386830575,0.373688222071024,0.399780985699654
2008-2010,0.686133098053953,0.526274616177755,0.584561213684475,0.557328375180382,0.521576698047269,0.550095244635429,0.527813200950945,0.611452179788386,0.526310239199506,0.529552867224075,0.533251185298962,0.499350958432116,0.506789348376092
2011-2013,0.342578727996707,0.258683671811342,0.22749749045372,0.214082299854664,0.21520901625197,0.214852838146787,0.233754012128486,0.221710309132175,0.229640239579838,0.211898385903477,0.215323645531816,0.210009017418262,0.237185201852983
2014-2016,0.288373328836216,0.303777475653528,0.246924795421921,0.213803804190857,0.219123693902672,0.214145002064619,0.219448692335358,0.203587369558806,0.219833947361969,0.217769748999825,0.224799420637854,0.217746934914863,0.223373822359021
2017-2019,0.237872391136355,0.200121152819209,0.179511362014279,0.171429586915427,0.159872966018272,0.167700966204141,0.160210580502499,0.155526849723918,0.157663099826759,0.163686126521569,0.1645037067519,0.156811142053831,0.162483606914096
2020-2022,0.489861311096946,0.412648937739396,0.423709072165877,0.591622536797854,0.579333592541779,0.549585209584653,0.438156389779215,0.503044552234618,0.43313559448356,0.444732361055664,0.414790660485231,0.424312978345557,0.397734302318925
2023-2025,0.204934664540475,0.150752217601554,0.146839308246627,0.157860380167974,0.155148254117737,0.155505688993894,0.161460098781009,0.1593898614551,0.155528761749119,0.150049927557688,0.160822534491729,0.15194236444063,0.181572921153933
