sub,Linear Phillips Curve,Linear with Variable Selection,Non-Linear Phillips Curve,Non-Linear and Variable Selection
2002-2004,0.218096721417089,0.208691065661808,0.201298804955486,0.200455915353611
2005-2007,0.371988934596256,0.356801500303007,0.374581815376242,0.379217465687445
2008-2010,0.488365329955143,0.502911802762303,0.518034554140233,0.475472257249437
2011-2013,0.211902378432134,0.21168696449247,0.207967622626768,0.212548971669635
2014-2016,0.209094493525122,0.199651159350154,0.211234253785657,0.212051256641786
2017-2019,0.158702443265326,0.148707476355216,0.1611896048482,0.153417261867633
2020-2022,0.542283762765613,0.412082788210856,0.419475650660282,0.39871987081757
2023-2025,0.140097904821329,0.146047455859269,0.137625152812234,0.141266646156619
