sub,RW,RSM,AR,La_P,Ri_P,EN_P,La,Ri,EN,RF_P,LLF_P,RF,LLF,Best 5,Constr. OLS,Constr. Ridge
2002-2004,0.344574363850273,0.238223277779548,0.223070851590184,0.221168484176854,0.213506095301077,0.219322658430333,0.223407976953631,0.231345393539047,0.217226209111681,0.201200158945252,0.206202102821837,0.200616866332326,0.215604297690127,,,
2005-2007,0.560166807910717,0.358380440768099,0.398902850132088,0.388556047145269,0.372887542516619,0.385683953230672,0.371479000548093,0.385403341277267,0.369678850697537,0.391434252582846,0.378138717324768,0.368336315726307,0.40767109150108,0.377064061219654,0.374184724096886,0.376396501604149
2008-2010,0.686133098053953,0.526274616177755,0.577016479748885,0.542872753660957,0.518169451618102,0.536609245707297,0.681889511824303,0.63034819398654,0.595208378899273,0.52539470191732,0.531388119890773,0.500007493589951,0.48509113657228,0.550404641712011,0.523140939890618,0.527699714561981
2011-2013,0.342578727996707,0.258683671811342,0.224579008725065,0.214025071529648,0.215522440812916,0.214414352199816,0.240278028607892,0.226369027820352,0.232356728573104,0.213012861622825,0.212964953784051,0.208560063595083,0.23508335876431,0.214769871892406,0.215305115593833,0.219344026012961
2014-2016,0.288373328836216,0.303777475653528,0.243662968218558,0.211539269981341,0.223180803198988,0.21593775315913,0.223787364143529,0.208914384836378,0.22390521223554,0.212303254554458,0.217942459905607,0.216620739281674,0.229348476387568,0.21425851159664,0.218513142342163,0.22135666835382
2017-2019,0.237872391136355,0.200121152819209,0.160571207141125,0.156593368280367,0.15587677366773,0.155316784504383,0.15524029045119,0.149409276303609,0.152960242475405,0.16814177127276,0.155943365244491,0.156147504167834,0.161377882947503,0.155668698272324,0.15621819957028,0.154415208710807
2020-2022,0.488223602867859,0.414332415126751,0.425374512721505,0.660705483188867,0.611486129935731,0.579079131013756,0.421344187758146,0.510475134385654,0.423159562493878,0.455246923955993,0.41782173419717,0.4285342454664,0.418931837373887,0.430883479975282,0.41942087721061,0.427269118516816
2023-2025,0.196354950684936,0.139609483427461,0.136132045060849,0.147166773782017,0.142991170587386,0.143259270562778,0.152175747643016,0.148318576685038,0.142257421199166,0.145275900223576,0.147117997766024,0.141624473150424,0.150109467471138,0.140613495550806,0.138831781096989,0.137580331994328
