sub,RW,RSM,AR,La_P,Ri_P,EN_P,La,Ri,EN,RF_P,LLF_P,RF,LLF,Best 5,Constr. OLS,Constr. Ridge
2002-2004,0.223536869006267,0.237911674358362,0.216137944263418,0.214367171103873,0.223265942785985,0.214641942488868,0.188632397805089,0.207992618464435,0.189311692986865,0.20070739872397,0.199112957397471,0.18668454101014,0.193162971474973,,,
2005-2007,0.431080198910773,0.358352792431019,0.375933900698476,0.366823671500002,0.363542164282996,0.367152837489472,0.334226074305406,0.352872393791714,0.337371464265667,0.368128692826745,0.373614373787677,0.34567020658936,0.383786934847288,0.346835596415325,0.342270942799154,0.352348760840226
2008-2010,0.440811141396871,0.525413726143756,0.438076507037476,0.426799952488953,0.46266748929659,0.433219228993302,0.404018263608993,0.441871481339408,0.407388939381978,0.498476427959287,0.516333124481318,0.457419208111364,0.465525597140234,0.422326820535657,0.405237856162253,0.424328525761047
2011-2013,0.243385770534938,0.258368187787931,0.206250416001628,0.204551520514766,0.214155036241372,0.206130489665498,0.195487963256561,0.19248785962582,0.192494024810369,0.195053586152029,0.212725034332095,0.189803427437103,0.220450339549688,0.191881544581633,0.196234110489081,0.196671392692576
2014-2016,0.221301451579624,0.303169815720018,0.203805241091204,0.188017185927735,0.202530998417915,0.19039445885424,0.180242316796657,0.183464495179225,0.178394469347969,0.199451007322807,0.206660015538581,0.189613215782029,0.204407318964063,0.179131935136912,0.181920666086364,0.183496463639985
2017-2019,0.191674477747696,0.199866293744876,0.165169212256423,0.157521287283623,0.157235684852017,0.155119470591502,0.147412942886933,0.136206974887756,0.145524394981871,0.164169063742563,0.16200625562842,0.146134797016565,0.153273346076663,0.140495283057082,0.145875443183145,0.143741784050173
2020-2022,0.379391515799678,0.41387453036888,0.340073000279146,0.487268002965996,0.570134933829983,0.453239720429745,0.341931958176658,0.394216151078778,0.3399446436606,0.368877671738808,0.422884425307945,0.359623515523449,0.370268840473839,0.363951350969759,0.335377710158602,0.340973047754276
2023-2025,0.164611587974057,0.139530129804904,0.1320012276473,0.135066489284246,0.133162799281751,0.131528664790819,0.152788136857225,0.134259189793611,0.147376701689889,0.12897887240077,0.130965737797401,0.134785999975765,0.144386140740353,0.137025717489935,0.142925748371055,0.137194851044654
