sub,RW,RSM,AR,La_P,Ri_P,EN_P,La,Ri,EN,RF_P,LLF_P,RF,LLF
2002-2004,0.223536869006267,0.237911674358362,0.216546643859005,0.215827958486248,0.224945434907357,0.215865404736751,0.183098292808952,0.207986425400123,0.182938033408653,0.205201692458621,0.200669237347122,0.186685572924139,0.196604171673567
2005-2007,0.431080198910773,0.358352792431019,0.375486043249212,0.365514167180696,0.364114601733871,0.365820219251115,0.334017563500037,0.352877414937065,0.337484801586962,0.366516146030793,0.370345520654921,0.340295110132664,0.392120619264228
2008-2010,0.440811141396871,0.525413726143756,0.426282374556584,0.42014921123805,0.463014586660064,0.424951704438307,0.390806993218762,0.428598129645187,0.397015856166038,0.498930061318309,0.522746646481102,0.447938776802929,0.464662687959117
2011-2013,0.243385770534938,0.258368187787931,0.204995378252162,0.202063416945143,0.21163705052945,0.202579933574564,0.199606118323412,0.189440357084217,0.197275077034418,0.195656472768969,0.213724461639401,0.188302452761528,0.210408508054142
2014-2016,0.221301451579624,0.303169815720018,0.20170947031603,0.189029107551553,0.208345072517327,0.194205083815579,0.182097505889382,0.186939296878872,0.179363768738408,0.204234127841072,0.201666709360553,0.193162080651338,0.210148650668936
2017-2019,0.191674477747696,0.199866293744876,0.155961178896625,0.157200152545035,0.155589895984376,0.155791312274533,0.145558580630337,0.135037660849586,0.142391314280867,0.162116457574106,0.156827219813489,0.14458142471242,0.144923833338099
2020-2022,0.379391515799678,0.41387453036888,0.345150097188098,0.615746629390633,0.574674879334281,0.542477800636813,0.354344560705687,0.398568201752538,0.349911740343416,0.375920337829605,0.412486103208307,0.360300607494586,0.402377187654554
2023-2025,0.164611587974057,0.139530129804904,0.133053543391416,0.136300630190122,0.13490154415328,0.132974556360244,0.152405301299254,0.136768487607868,0.146366551640977,0.129883925845625,0.134672167018584,0.135376454495439,0.140442552472391
