regime,N,Mean,SD,Min,Max,Skew,Kurt,MeanAnn,CorrPC
Normal Periods (pre-2008),72,0.243830343765795,0.286990560508057,-0.503525736564559,1.36745610201734,0.181248971240343,2.99739010432606,2.92596412518954,-0.102793576831573
2008-10 GFC,36,0.116127181416384,0.483600162348764,-1.78640940928183,1.04237187971661,-1.82749370294814,5.60630319972519,1.3935261769966,-0.00430367787960814
Normal Periods (2011-2019),108,0.14780348721592,0.196226836546351,-0.639069349248711,0.579271774312318,-0.694498712538402,1.54673789160496,1.77364184659104,0.0575816634972622
2020-22 COVID,36,0.401341871336968,0.407763393670796,-0.795167851901812,1.24827848358358,-0.492207436132997,1.02522535848439,4.81610245604361,-0.415259223485203
Normal Periods (post-2022),36,0.251105427262337,0.130253404150271,-0.0418383989980953,0.529995299865682,0.0532199744996788,-0.3778096506215,3.01326512714804,-0.148335074169858
Full sample (2002-2025),288,0.21245570364938,0.305359202656989,-1.78640940928183,1.36745610201734,-0.931579300413018,7.99871663301821,2.54946844379256,-0.168118038622483
