regime,N,Mean,SD,Min,Max,Skew,Kurt,MeanAnn,CorrPC
Normal Periods (pre-2008),72,0.243830343765795,0.286990560508057,-0.503525736564559,1.36745610201734,0.181248971240343,2.99739010432606,2.92596412518954,-0.102793576831573
2008-2009 GFC,24,0.114709322209143,0.586365287471456,-1.78640940928183,1.04237187971661,-1.56810455258568,3.12655577655796,1.37651186650971,-0.000190770375374479
Normal Periods (2010-2019),120,0.144919428477415,0.192426603939171,-0.639069349248711,0.579271774312318,-0.625938737237001,1.45595296194644,1.73903314172898,0.0173899786470908
2020-2022 COVID,36,0.401118771588949,0.406046150077547,-0.795167851901812,1.2869163284293,-0.5154240310714,1.08476168871093,4.81342525906738,-0.416037161229002
Normal Periods (post-2022),24,0.254170618792637,0.144511972414111,-0.00287415511834865,0.550009396350593,0.133756899995383,-0.686136243926558,3.05004742551165,-0.277641581405865
Full sample (2002-2024),276,0.211012719310405,0.310911161207526,-1.78640940928183,1.36745610201734,-0.91635983585483,7.644089205485,2.53215263172487,-0.166820606618668
